,Id,Number_of_dependents__c,Disability_Rating__c,days_seek_services,length_of_service,"Highest_Level_of_Education_Completed__c__2 Year Degree (AA, AS, etc.)","Highest_Level_of_Education_Completed__c__4 Year Degree (BA, BS, etc.)","Highest_Level_of_Education_Completed__c__Doctorate (PhD, MD, etc.)",Highest_Level_of_Education_Completed__c__High School/GED,"Highest_Level_of_Education_Completed__c__Post-Graduate Degree (MA, MS, JD, etc.)",Service_Branch__c__Air Force,Service_Branch__c__Army,Service_Branch__c__Coast Guard,Service_Branch__c__Marines,Service_Branch__c__Navy,Gender__c__Female,Gender__c__Male,complete_survey
1,0030z00002PrWdBAAV,0.0,0,0.0,7327.0,0,0,0,1,0,0,0,0,0,1,0,1,0
2,0030z00002PrWflAAF,0.0,0,0.0,7254.0,0,1,0,0,0,0,1,0,0,0,0,1,0
6,0030z00002PrWjJAAV,0.0,0,9124.0,735.0,0,1,0,0,0,0,1,0,0,0,0,1,0
7,0030z00002PrWjdAAF,0.0,0,2151.0,1614.0,0,1,0,0,0,0,0,0,0,1,0,1,0
8,0030z00002PrWk2AAF,0.0,0,3627.0,2630.0,1,0,0,0,0,1,0,0,0,0,0,1,0
9,0030z00002PrWlPAAV,0.0,0,0.0,7313.0,0,1,0,0,0,0,1,0,0,0,0,1,0
10,0030z00002PrWmmAAF,0.0,0,0.0,2762.0,0,0,0,1,0,0,1,0,0,0,0,1,0
11,0030z00002PrWmwAAF,0.0,90,46.0,3074.0,1,0,0,0,0,0,1,0,0,0,0,1,0
12,0030z00002PrWn1AAF,0.0,0,0.0,7314.0,0,0,0,1,0,0,0,0,1,0,0,1,1
13,0030z00002PrWr8AAF,0.0,0,4622.0,1461.0,0,0,0,1,0,0,0,0,1,0,0,1,0
14,0030z00002PrWrSAAV,0.0,0,0.0,11526.0,0,1,0,0,0,0,1,0,0,0,0,1,0
26,0030z00002PrXEhAAN,0.0,0,0.0,8376.0,0,1,0,0,0,0,0,0,1,0,0,1,0
29,0030z00002PrXFVAA3,0.0,90,2179.0,2570.0,1,0,0,0,0,0,1,0,0,0,1,0,0
32,0030z00002PrXLpAAN,0.0,10,15.0,10617.0,0,1,0,0,0,0,1,0,0,0,0,1,0
34,0030z00002PrXMdAAN,0.0,0,0.0,5423.0,0,0,0,1,0,0,1,0,0,0,0,1,0
